iso3,food_serving,personal_care,arts_media,sales,transport,office_admin,tour_soc_mean,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,arrivals,tour_receipts,gdp_pc,population,services_emp,travel_exp_share,internet_users,mobile_subs,working_age_share,unemployment,services_va,ict_exports,gdp_growth,homicides,arrivals_pc,tour_receipts_pc
THA,0.5,1.21,12.24,8.16,0.37,8.58,0.855,2.81,12.74,0.84,8.61,6.64,5.54,0.03,0.46,3.54,4.78,1.74,1.27,5.2,12.59,2.36,2.94,14.81,0.47,0.68,0.94,2.6,1.15,0.64,6.97,0.17,4.0,2.86,0.41,0.85,3.43,0.48,1.75,0.95,0.29,47.46,52.54,34.81,16.25,15.34,2.82,28.19,2.59,11.79,86.02,4.88,34.76,19.74,0.86,0.73,9.84,37.04,53.12,39916000.0,15360000000.0,7386.63615126055,71668011,48.7593092354398,58.7829923846857,90.86718789,160.639312286761,69.887763454186,0.781,59.270961161831,0.72117334961778,2.94859986593323,,0.5569569943834496,214.32156112159998
TTO,,1.65,14.11,7.52,,8.75,1.65,2.84,12.27,0.31,11.61,4.25,6.42,0.0,0.31,2.49,3.63,1.76,2.69,2.69,19.79,3.52,3.83,12.23,1.04,0.62,0.93,2.18,2.07,0.1,6.22,0.31,3.83,1.55,0.31,1.55,2.38,0.31,0.0,0.62,0.41,48.1,51.9,34.8,15.26,12.33,3.55,31.24,2.82,11.43,82.69,6.16,43.54,25.28,0.02,1.05,15.85,39.48,44.66,141000.0,151000000.0,18733.4110406494,1368333,71.1301596317669,34.7039433934338,82.15989685,118.786668099235,69.8613492737509,3.318,59.1817694915092,2.65965224993746,2.50920813979569,40.4432986623964,0.10304509209381049,110.35325465365521
TUN,0.15,1.17,12.25,5.9,0.21,7.45,0.6599999999999999,2.75,13.28,1.56,4.95,4.14,5.12,0.04,0.25,4.56,6.61,2.37,0.78,1.64,15.33,6.39,2.16,15.65,0.27,0.35,0.75,0.81,3.51,0.61,5.71,0.13,2.47,4.5,0.21,1.54,5.0,0.79,1.0,0.63,0.17,50.21,49.79,32.35,16.3,17.81,2.3,28.93,2.3,12.22,83.06,5.06,38.66,18.89,0.27,1.4,51.52,20.54,27.94,2012000.0,1007000000.0,4187.64079392362,12277109,54.0394899080975,25.5231902841908,76.5,117.606816067203,66.4314172009062,15.341,62.6074263616937,4.60032264285868,1.61444564976986,4.69348024650292,0.16388222992888635,82.02256736500425
TUR,0.51,1.29,12.0,8.76,0.33,6.44,0.9,2.76,12.62,1.92,10.31,5.33,5.75,0.06,0.39,2.23,5.27,1.91,1.42,2.54,11.92,2.29,2.26,18.32,0.61,0.7,1.01,2.04,1.28,0.69,6.13,0.23,4.31,2.27,0.5,0.75,4.32,0.5,1.42,0.83,0.47,50.0,50.0,27.44,21.15,17.65,2.83,27.86,3.09,11.54,82.44,4.86,41.15,18.56,0.88,0.64,16.29,43.34,40.37,15971000.0,13771000000.0,15892.7157287241,85518661,58.0799462166807,48.0232786353668,87.3078767,107.826875714392,68.2669114485188,8.8,57.5212773580131,4.55332838406335,3.3276230893799,3.22789482308636,0.18675456108930424,161.0291816893625
TZA,,1.69,12.98,7.04,,10.71,1.69,2.89,12.67,1.31,5.0,3.31,7.58,0.04,0.13,1.53,3.86,1.57,0.81,3.47,22.71,5.13,2.71,16.23,0.21,0.17,1.23,1.74,2.2,0.21,6.99,0.17,2.16,2.54,0.04,1.78,2.8,0.34,1.06,0.72,0.25,45.14,54.86,41.17,12.27,14.77,2.59,27.76,1.44,11.35,81.9,6.19,31.08,19.36,0.06,0.07,30.18,25.26,44.55,1527000.0,2624500000.0,1192.60668945313,68560157,26.8590825384721,57.0058197772823,31.16209984,126.559163217786,54.4188908435551,1.557,29.5630742232271,1.00350897434552,5.5263138305945,3.74921291744897,0.02227241107397114,38.280250729297485
UGA,,0.96,13.7,5.65,,9.93,0.96,2.9,12.99,1.15,4.79,2.93,7.12,0.0,0.57,1.69,3.34,1.38,0.88,2.93,21.82,6.98,3.58,16.56,0.27,0.51,1.18,1.75,2.43,0.4,5.87,0.1,2.7,2.6,0.13,2.29,2.77,0.44,0.1,0.64,0.1,43.98,56.02,42.46,12.28,15.97,2.3,25.47,1.52,11.87,82.33,6.59,35.99,23.28,0.07,0.11,33.12,24.82,42.06,473000.0,518000000.0,1077.91278438613,50015092,27.3611464419171,64.0506352537584,8.949831061,83.165031466902,54.2684170783049,2.74,43.1413581135321,1.89162479943852,6.05558075875589,8.97308867739149,0.009457145455215797,10.356873881187703
UKR,0.4,1.51,15.26,9.28,0.34,6.33,0.9550000000000001,2.66,12.26,1.3,9.64,4.97,3.77,0.03,0.76,2.04,4.96,1.98,1.76,2.36,13.96,2.66,3.08,18.25,0.62,0.7,0.84,3.94,1.59,0.75,6.03,0.25,3.16,2.01,0.66,0.72,3.8,0.49,1.52,1.07,0.33,51.1,48.9,29.45,18.07,15.97,2.84,30.45,3.22,11.27,87.46,4.44,40.9,22.13,0.47,0.78,18.77,40.61,40.61,3382000.0,687000000.0,5391.62255859375,37860221,60.6651539753775,6.04817745941887,82.47489929,133.38012811971,67.1490154911006,9.834,60.3904324193958,38.183813760037,3.24811808426423,3.77663964401616,0.08932858579985574,18.14569439518063
URY,0.37,1.5,11.59,9.17,,8.46,0.935,2.77,12.47,0.45,8.89,5.71,4.77,0.07,0.47,2.63,3.77,1.96,1.41,4.39,14.12,3.05,3.08,16.7,0.6,0.47,1.17,3.33,2.01,0.45,6.43,0.15,4.02,2.01,0.74,1.19,3.55,0.6,0.47,1.07,0.27,51.99,48.01,27.46,19.23,16.26,2.77,31.12,3.17,11.42,85.88,4.73,43.21,22.85,0.1,1.89,17.11,36.13,46.76,3480000.0,1085000000.0,24308.4954958447,3386588,72.9175447010323,31.1302162962637,91.99109007,145.501755749445,65.6618351068738,8.209,65.0612263367713,20.8402439012093,3.32575905957381,11.2453054170348,1.0275829241702858,320.38145767952875
USA,0.64,1.27,12.91,11.6,0.39,7.64,0.9550000000000001,2.71,12.31,0.72,15.12,5.99,3.32,0.03,0.45,1.62,2.13,1.28,1.71,2.75,13.89,1.71,5.94,17.9,0.37,0.84,0.75,2.36,1.47,0.29,6.88,0.15,4.4,1.43,0.92,1.98,2.18,0.28,0.31,0.66,0.15,50.41,49.59,31.64,16.55,16.86,2.83,28.81,3.32,11.64,92.02,4.28,40.95,26.26,20.16,3.87,8.94,49.74,41.32,45037000.0,84205000000.0,86169.6641581917,340003797,79.3873005029237,18.5451794712977,94.69380188,113.190481805755,64.7466928651531,4.022,76.2563816410471,7.87536206990779,2.79318715363841,5.76340794073065,0.13246028543616528,247.65899893759126
UZB,0.63,2.26,11.94,8.84,0.29,6.47,1.4449999999999998,2.75,10.95,1.46,9.44,2.79,6.4,0.05,0.21,1.54,2.66,0.88,1.03,1.78,11.38,7.09,1.14,22.79,0.66,0.66,1.09,1.34,3.06,0.43,6.8,0.15,3.24,4.51,0.28,0.49,2.35,0.32,2.99,0.72,0.28,46.62,53.38,39.01,12.31,19.46,3.85,23.25,2.11,9.23,84.92,4.06,24.83,19.37,0.16,0.3,32.67,44.52,22.81,6749000.0,395000000.0,3337.45492058664,36361859,49.97147756218,48.923524871578,89.50550079,110.492018573638,63.0320578494076,4.439,46.3253634726906,9.46564335753085,6.67618796188361,1.39879762685076,0.1856065719852222,10.86303095779564
VNM,0.29,1.26,15.04,6.46,0.37,7.47,0.775,2.79,13.27,1.22,5.54,5.96,4.17,0.03,0.73,3.45,6.06,1.93,1.88,4.51,15.91,2.94,2.37,13.73,0.37,0.47,0.66,3.02,1.43,0.85,6.96,0.14,3.71,2.49,0.15,1.0,4.45,0.68,1.79,0.91,0.49,48.62,51.38,35.74,14.42,14.44,2.39,29.93,3.09,12.49,84.39,5.3,33.98,17.86,0.85,0.53,20.38,26.5,53.13,3837000.0,3232000000.0,4716.6599379632,100987686,39.8063485099891,,84.15,127.606471743496,67.7288116705198,1.602,42.3541982658904,,7.03955197123018,,0.037994731357642954,32.00390194107428
ZAF,0.33,1.16,13.49,6.95,0.38,8.77,0.745,2.81,12.68,1.09,7.81,4.56,5.25,0.03,0.33,2.19,3.1,1.32,1.66,3.22,18.16,4.8,4.99,14.99,0.36,0.62,1.06,2.26,2.78,0.39,6.48,0.17,3.54,2.34,0.45,1.88,2.46,0.41,0.3,0.82,0.18,48.57,51.43,36.45,13.75,15.19,2.4,29.33,2.88,11.89,85.72,5.49,38.58,23.28,0.47,0.46,25.67,30.2,44.13,3886600.09765625,2716000000.0,6267.186814093,64007187,73.7530079450078,39.5489468375954,78.35759735,179.336329840585,67.4256928946564,32.279,62.9921807546005,9.47859790223543,0.534843531905139,43.7202551331462,0.06072130771277685,42.43273493646893
ZMB,,1.36,12.83,6.42,,9.77,1.36,2.86,12.69,1.1,5.68,3.71,6.09,0.06,0.41,1.74,2.78,1.04,2.14,2.61,19.71,6.84,4.0,16.7,0.41,0.17,1.04,1.74,5.04,0.35,4.87,0.12,2.9,2.49,0.23,2.26,2.61,0.17,0.29,0.35,0.35,45.88,54.12,39.87,13.06,17.12,2.21,25.59,2.15,11.62,83.19,6.11,33.68,22.9,0.04,0.15,34.72,28.87,36.41,502000.0,,1187.10943350064,21314956,34.6642767109741,64.852131916812,17.10099983,108.704779873813,56.5959028157483,5.898,57.1882934058153,1.81427980260639,3.82004825518591,,0.023551538178169358,
ZWE,,1.18,14.05,4.99,,8.89,1.18,2.95,13.23,3.3,4.46,2.59,4.9,0.06,0.11,2.53,3.63,0.33,0.99,2.92,23.5,9.58,3.03,13.65,0.28,0.5,1.65,1.49,2.81,0.28,5.56,0.0,2.42,2.64,0.39,2.42,2.81,0.39,0.17,0.66,0.0,42.37,57.63,45.45,11.03,12.52,1.99,27.69,1.32,12.17,80.35,6.72,32.3,22.18,0.04,0.2,39.57,22.29,38.14,639000.0,66000000.0,2496.15514995576,16634373,33.394772809592,44.3540061637873,41.64279938,94.2451753366358,55.5245832086542,9.435,50.5845539917432,3.26611744525448,1.67649454921512,6.75833125350771,0.038414432572841786,3.9676878713733306
